- 66.249.66.200 - - [23/Mar/2026:00:00:21 -0300] "GET /fotos_veiculos/46/HB20-1.6-COPA--AUT.-2019-1128233.jpg HTTP/1.1" 200 57039 "-" "Googlebot-Image/1.0"
- 47.128.115.212 - - [23/Mar/2026:00:04:09 -0300] "GET /logo_empresas/249/Life-Motors.jpeg HTTP/1.1" 206 500 "https://www.lifemotors.com.br/" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)"
- 23.239.26.6 - - [23/Mar/2026:00:04:49 -0300] "HEAD / HTTP/1.1" 302 - "-" "SiteUptime.com"
- 23.239.26.6 - - [23/Mar/2026:00:04:50 -0300] "HEAD /index/login-v2/ HTTP/1.1" 200 - "-" "SiteUptime.com"
- 66.249.66.5 - - [23/Mar/2026:00:06:37 -0300] "GET /fotos_veiculos/46/HB20-1.6-COPA--AUT.-2019-1126041.jpg HTTP/1.1" 304 - "-" "Googlebot-Image/1.0"
- 66.249.66.42 - - [23/Mar/2026:00:08:02 -0300] "GET /fotos_veiculos/249/PEUGEOT-308-ALLURE--2015-0631161.jpeg HTTP/1.1" 200 62277 "-" "Googlebot-Image/1.0"
- 173.252.127.7 - - [23/Mar/2026:00:09:37 -0300] "GET /frente_loja_empresas/111/Basson-Ve%C3%ADculos-120518.jpg HTTP/1.1" 200 60436 "https://www.bassonveiculos.com.br/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1"
- 173.252.127.7 - - [23/Mar/2026:00:09:38 -0300] "GET /logo_empresas/111/Basson-Ve%C3%ADculos.jpeg HTTP/1.1" 200 54668 "https://www.bassonveiculos.com.br/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1"
- 173.252.70.28 - - [23/Mar/2026:00:10:13 -0300] "GET /logo_empresas/111/Basson-Ve%C3%ADculos.jpeg HTTP/1.1" 200 54668 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)"
- 66.249.66.6 - - [23/Mar/2026:00:10:28 -0300] "GET /fotos_veiculos/111/MEGANE-GRAN-TUOR-1.6-MEC--2012-0610350.jpg HTTP/1.1" 200 68585 "-" "Googlebot-Image/1.0"
- 66.249.66.200 - - [23/Mar/2026:00:11:53 -0300] "GET /fotos_veiculos/111/MEGANE-GRAN-TUOR-1.6-MEC--2012-0610367.jpg HTTP/1.1" 200 53856 "-" "Googlebot-Image/1.0"
- 66.249.66.69 - - [23/Mar/2026:00:14:30 -0300] "GET /fotos_veiculos/111/MEGANE-GRAN-TUOR-1.6-MEC--2012-0610364.jpg HTTP/1.1" 200 62243 "-" "Googlebot-Image/1.0"
- 47.128.59.167 - - [23/Mar/2026:00:15:06 -0300] "GET /fotos_veiculos/249/VW---NIVUS-HIGHLINE-1.0-200-TSI-AT-2025-0446362.jpeg HTTP/1.1" 206 500 "https://www.meucar.com.br/" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)"
- 47.128.59.167 - - [23/Mar/2026:00:15:07 -0300] "GET /fotos_veiculos/249/VW---NIVUS-HIGHLINE-1.0-200-TSI-AT-2025-0446361.jpeg HTTP/1.1" 206 500 "https://www.meucar.com.br/" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)"
- 47.128.59.167 - - [23/Mar/2026:00:15:07 -0300] "GET /fotos_veiculos/249/VW---NIVUS-HIGHLINE-1.0-200-TSI-AT-2025-0446364.jpeg HTTP/1.1" 206 500 "https://www.meucar.com.br/" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)"
- 47.128.59.167 - - [23/Mar/2026:00:15:07 -0300] "GET /fotos_veiculos/249/VW---NIVUS-HIGHLINE-1.0-200-TSI-AT-2025-0446363.jpeg HTTP/1.1" 206 500 "https://www.meucar.com.br/" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)"
- 47.128.59.167 - - [23/Mar/2026:00:15:07 -0300] "GET /fotos_veiculos/249/VW---NIVUS-HIGHLINE-1.0-200-TSI-AT-2025-0446377.jpeg HTTP/1.1" 206 500 "https://www.meucar.com.br/" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)"
- 47.128.59.167 - - [23/Mar/2026:00:15:07 -0300] "GET /fotos_veiculos/249/VW---NIVUS-HIGHLINE-1.0-200-TSI-AT-2025-0446376.jpeg HTTP/1.1" 206 500 "https://www.meucar.com.br/" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)"
- 47.128.59.167 - - [23/Mar/2026:00:15:07 -0300] "GET /fotos_veiculos/249/VW---NIVUS-HIGHLINE-1.0-200-TSI-AT-2025-0445500.jpg HTTP/1.1" 206 500 "https://www.meucar.com.br/" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)"
- 47.128.59.167 - - [23/Mar/2026:00:15:07 -0300] "GET /fotos_veiculos/249/VW---NIVUS-HIGHLINE-1.0-200-TSI-AT-2025-0446375.jpeg HTTP/1.1" 206 500 "https://www.meucar.com.br/" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)"
- 47.128.59.167 - - [23/Mar/2026:00:15:07 -0300] "GET /fotos_veiculos/249/VW---NIVUS-HIGHLINE-1.0-200-TSI-AT-2025-0446360.jpeg HTTP/1.1" 206 500 "https://www.meucar.com.br/" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)"
- 91.90.126.148 - - [23/Mar/2026:00:15:15 -0300] "GET / HTTP/1.1" 302 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
- 146.70.126.197 - - [23/Mar/2026:00:15:15 -0300] "GET / HTTP/1.1" 302 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
- 185.206.225.27 - - [23/Mar/2026:00:15:16 -0300] "GET /favicon.ico HTTP/1.1" 404 4087 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
- 146.70.126.197 - - [23/Mar/2026:00:15:18 -0300] "GET /index/login-v2/ HTTP/1.1" 200 3309 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
- 146.70.126.197 - - [23/Mar/2026:00:15:20 -0300] "GET /favicon.ico HTTP/1.1" 404 4087 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
- 172.70.242.148 - - [23/Mar/2026:00:15:51 -0300] "GET / HTTP/1.1" 302 - "-" "Go-http-client/1.1"
- 172.70.242.148 - - [23/Mar/2026:00:15:51 -0300] "GET /index/login-v2/ HTTP/1.1" 200 3309 "-" "Go-http-client/1.1"
- 149.22.83.98 - - [23/Mar/2026:00:15:52 -0300] "GET / HTTP/1.1" 302 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
- 149.22.83.98 - - [23/Mar/2026:00:15:53 -0300] "GET /index/login-v2/ HTTP/1.1" 200 3309 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
- 149.22.83.98 - - [23/Mar/2026:00:15:54 -0300] "GET /.env HTTP/1.1" 404 4059 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
- 164.90.208.56 - - [23/Mar/2026:00:15:59 -0300] "GET / HTTP/1.1" 302 - "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:15:59 -0300] "GET / HTTP/1.1" 302 - "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:00 -0300] "GET /console/ HTTP/1.1" 404 4071 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:01 -0300] "GET /server HTTP/1.1" 404 4067 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:01 -0300] "GET /console/ HTTP/1.1" 404 4071 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:02 -0300] "GET /server HTTP/1.1" 404 4067 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:02 -0300] "GET /server-status HTTP/1.1" 404 4095 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:03 -0300] "GET /server-status HTTP/1.1" 404 4095 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:04 -0300] "GET /about HTTP/1.1" 404 4063 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:05 -0300] "GET /login.action HTTP/1.1" 404 4091 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:05 -0300] "GET /about HTTP/1.1" 404 4063 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:06 -0300] "GET /login.action HTTP/1.1" 404 4091 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:06 -0300] "GET /v2/_catalog HTTP/1.1" 404 4067 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:07 -0300] "GET /.DS_Store HTTP/1.1" 404 4079 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:07 -0300] "GET /v2/_catalog HTTP/1.1" 404 4067 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:08 -0300] "GET /.env HTTP/1.1" 404 4059 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:08 -0300] "GET /.DS_Store HTTP/1.1" 404 4079 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:09 -0300] "GET /.env HTTP/1.1" 404 4059 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:10 -0300] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1" 404 4247 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:11 -0300] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1" 404 4247 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:12 -0300] "GET /.git/config HTTP/1.1" 404 4071 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:13 -0300] "POST /graphql HTTP/1.1" 404 4071 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:13 -0300] "GET /.git/config HTTP/1.1" 404 4071 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:14 -0300] "POST /graphql HTTP/1.1" 404 4071 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:14 -0300] "POST /api HTTP/1.1" 404 4055 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:14 -0300] "POST /api HTTP/1.1" 404 4055 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:15 -0300] "POST /api/graphql HTTP/1.1" 404 4067 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:15 -0300] "POST /api/graphql HTTP/1.1" 404 4067 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:16 -0300] "POST /graphql/api HTTP/1.1" 404 4075 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:16 -0300] "POST /api/gql HTTP/1.1" 404 4059 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:17 -0300] "POST /graphql/api HTTP/1.1" 404 4075 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:17 -0300] "GET /s/8343e23313e2230323e2638313/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties HTTP/1.1" 404 4303 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:17 -0300] "POST /api/gql HTTP/1.1" 404 4059 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:18 -0300] "GET /s/8343e23313e2230323e2638313/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties HTTP/1.1" 404 4303 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:18 -0300] "GET /config.json HTTP/1.1" 404 4087 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:20 -0300] "GET /config.json HTTP/1.1" 404 4087 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:20 -0300] "GET /telescope/requests HTTP/1.1" 404 4095 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:21 -0300] "POST /php-cgi/php-cgi.exe?%ADd+cgi.force_redirect%3D0+%ADd+disable_functions%3D\"\"+%ADd+allow_url_include%3D1+%ADd+auto_prepend_file%3Dphp://input HTTP/1.1" 403 199 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:21 -0300] "GET /telescope/requests HTTP/1.1" 404 4095 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:22 -0300] "POST /php-cgi/php-cgi.exe?%ADd+cgi.force_redirect%3D0+%ADd+disable_functions%3D\"\"+%ADd+allow_url_include%3D1+%ADd+auto_prepend_file%3Dphp://input HTTP/1.1" 403 199 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:22 -0300] "GET /info.php HTTP/1.1" 404 4075 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:23 -0300] "GET /info.php HTTP/1.1" 404 4075 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:23 -0300] "GET /.well-known/security.txt HTTP/1.1" 404 4115 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:24 -0300] "GET /.well-known/security.txt HTTP/1.1" 404 4115 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:24 -0300] "GET /actuator/env HTTP/1.1" 404 4079 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:25 -0300] "GET /actuator/env HTTP/1.1" 404 4079 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:26 -0300] "GET /swagger-ui.html HTTP/1.1" 404 4103 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:27 -0300] "GET /swagger-ui.html HTTP/1.1" 404 4103 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:27 -0300] "GET /swagger/index.html HTTP/1.1" 404 4091 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:28 -0300] "GET /swagger/index.html HTTP/1.1" 404 4091 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:28 -0300] "GET /swagger/swagger-ui.html HTTP/1.1" 404 4107 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 149.22.83.98 - - [23/Mar/2026:00:16:28 -0300] "GET / HTTP/1.1" 302 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
- 149.22.83.98 - - [23/Mar/2026:00:16:28 -0300] "GET /index/login-v2/ HTTP/1.1" 200 3309 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
- 164.90.208.56 - - [23/Mar/2026:00:16:29 -0300] "GET /swagger/swagger-ui.html HTTP/1.1" 404 4107 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:29 -0300] "GET /webjars/swagger-ui/index.html HTTP/1.1" 404 4107 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:30 -0300] "GET /webjars/swagger-ui/index.html HTTP/1.1" 404 4107 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 209.38.208.202 - - [23/Mar/2026:00:16:30 -0300] "GET /swagger.json HTTP/1.1" 404 4091 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:31 -0300] "GET /swagger.json HTTP/1.1" 404 4091 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 149.22.83.98 - - [23/Mar/2026:00:16:31 -0300] "GET /.env HTTP/1.1" 404 4059 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
- 209.38.208.202 - - [23/Mar/2026:00:16:31 -0300] "GET /swagger/v1/swagger.json HTTP/1.1" 404 4091 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 164.90.208.56 - - [23/Mar/2026:00:16:32 -0300] "GET /swagger/v1/swagger.json HTTP/1.1" 404 4091 "-" "Mozilla/5.0 (l9scan/2.0.8343e23313e2230323e2638313; +https://leakix.net)"
- 149.22.83.98 - - [23/Mar/2026:00:16:32 -0300] "GET /.env.production HTTP/1.1" 404 4103 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
